INFO:root:Profile data:
         527508 function calls (527489 primitive calls) in 1.695 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\sre_parse.py:140(__setitem__)
        4    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 C:\Python26\ArcGIS10.0\lib\ntpath.py:122(splitdrive)
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {abs}
        4    0.000    0.000    0.000    0.000 {method '__enter__' of 'file' objects}
        6    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}



